universe_id,game_name,game_name_clean,is_breakout,genre_l1,buzz_velocity,buzz_trend_r2,buzz_peak,buzz_recency,youtube_volume,youtube_total_views,youtube_avg_views,upload_velocity_7d,upload_velocity_30d,recent_video_avg_views,unique_creators,view_acceleration,short_video_ratio,title_update_freq,composite_buzz
383310974,[🍭] Adopt Me!,Adopt Me,True,Roleplay & Avatar Sim,0.0053,0.0231,6,5,50,35857512,717150.24,26,33,37124.0,27,0.0182,0.04,0.36,0.5898
994732206,Blox Fruits,Blox Fruits,True,RPG,-0.034,0.4263,7,84,50,47965104,959302.08,27,38,265560.0,29,0.0841,0.02,0.2,0.4208
1686885941,Brookhaven 🏡RP,Brookhaven RP,True,Roleplay & Avatar Sim,0.0,,0,90,50,152238764,3044775.28,4,7,351902.86,22,0.101,0.0,0.1,0.3659
6035872082,[🍀] RIVALS,RIVALS,True,Shooter,-0.012,0.065,10,62,50,15757999,315159.98,30,45,233108.98,29,0.2212,0.02,0.1,0.546
66654135,Murder Mystery 2,Murder Mystery 2,True,Survival,0.0,,0,90,50,157778913,3155578.26,3,7,234148.14,28,0.0645,0.0,0.02,0.3913
3808081382,The Strongest Battlegrounds,The Strongest Battlegrounds,True,Action,0.0,,0,90,50,92315634,1846312.68,10,14,86629.64,23,0.0333,0.0,0.08,0.3881
601130232,Bee Swarm Simulator,Bee Swarm Simulator,True,Simulation,-0.0117,0.4124,1,88,50,32736647,654732.94,9,24,55611.38,30,0.046,0.02,0.06,0.4268
5361032378,Sol's RNG [ BOSS RAID 2🔥],Sol's RNG,True,Simulation,0.0,,0,90,50,4848626,96972.52,12,37,42148.97,15,0.1666,0.02,0.38,0.4383
5750914919,Fisch 🍀 [ST. PATRICK'S],Fisch,True,Simulation,-0.0465,0.3877,14,85,50,37655020,753100.4,13,19,55067.0,27,0.0466,0.02,0.34,0.3159
1831550657,🌷 Creatures of Sonaria ✨ Survive Kaiju Animals,Creatures of Sonaria  Survive Kaiju Anim,False,Roleplay & Avatar Sim,0.0,,0,90,50,33860203,677204.06,1,1,73675.0,12,0.1068,0.02,0.06,0.2988
1720936166,All Star Tower Defense,All Star Tower Defense,False,Strategy,0.0,,0,90,50,5959325,119186.5,31,42,23050.86,17,0.0323,0.0,0.14,0.4528
3317679266,PLS DONATE 💸,PLS DONATE,True,Social,0.0,,0,90,50,41051515,821030.3,12,15,31567.07,37,0.0241,0.0217,0.06,0.4573
4777817887,Blade Ball,Blade Ball,True,Action,0.0,,0,90,50,55852198,1117043.96,0,0,0.0,13,0.0,0.0,0.16,0.2909
1235188606,[VEIDREKI] Dragon Adventures 🐉,Dragon Adventures,False,RPG,0.0,,0,90,50,4800045,96000.9,16,24,13395.12,20,0.0778,0.0,0.14,0.411
210851291,Build A Boat For Treasure,Build A Boat For Treasure,True,Simulation,0.0,,0,90,50,138069475,2761389.5,1,3,195476.67,24,0.0668,0.0,0.0,0.3591
372226183,⛩️Flee the Facility💕,Flee the Facility,False,Survival,0.0,,0,90,50,32275207,645504.14,0,0,0.0,17,0.0,0.0,0.12,0.3099
88070565,[🩰] Welcome to Bloxburg,Welcome to Bloxburg,False,Roleplay & Avatar Sim,0.0,,0,90,50,146457565,2929151.3,2,5,15113.8,25,0.0046,0.08,0.26,0.3651
2440500124,DOORS [NEW BUNDLE 🍀],DOORS,True,Survival,0.0256,0.0817,26,39,50,242468679,4849373.58,16,17,20424.88,34,0.0028,0.06,0.14,0.6048
1176784616,🍀 Tower Defense Simulator 🍀,Tower Defense Simulator,False,Strategy,0.0,,0,90,50,17599222,351984.44,12,32,50889.28,27,0.0574,0.08,0.16,0.4692
5650396773,a dusty trip [🍀SHOP],a dusty trip,False,Adventure,0.0,,0,90,50,86872568,1737451.36,2,2,14727.0,36,0.0081,0.0,0.06,0.4078
245662005,Jailbreak,Jailbreak,True,Action,-0.0005,0.0145,2,75,50,23405248,468104.96,12,29,18324.38,24,0.0168,0.0,0.18,0.4597
321778215,Royale🌼High,RoyaleHigh,True,Roleplay & Avatar Sim,0.0,,0,90,50,120305844,2406116.88,8,24,11127.96,23,0.0024,0.04,0.38,0.4187
73885730,Prison Life,Prison Life,False,Action,0.0,,0,90,50,32079303,641586.06,0,12,51829.58,38,0.0626,0.06,0.22,0.4554
47545,🍕Work at a Pizza Place,Work at a Pizza Place,False,Roleplay & Avatar Sim,0.0,,0,90,50,129421924,2588438.48,2,3,215054.67,40,0.0785,0.0,0.0,0.4363
65241,Natural Disaster Survival,Natural Disaster Survival,True,Survival,0.0,,0,90,50,157231668,3144633.36,1,2,117013.5,32,0.0358,0.0,0.02,0.3912
1516533665,Piggy [MYSTERY SKIN QUEST],Piggy,False,Survival,0.0005,0.0053,2,39,50,477692878,9553857.56,8,21,116849.43,33,0.0071,0.04,0.12,0.5201
903807016,[👷] Emergency Response: Liberty County,Emergency Response: Liberty County,False,Roleplay & Avatar Sim,0.0,,0,90,50,16733986,334679.72,1,6,14750.0,16,0.039,0.1,0.16,0.3286
31970568,Theme Park Tycoon 2,Theme Park Tycoon 2,False,Simulation,0.0,,0,90,50,42446358,848927.16,1,3,50671.67,20,0.0563,0.0,0.04,0.3391
1359573625,Deepwoken: Ironsworn,Deepwoken: Ironsworn,False,RPG,0.0,,0,90,50,2629889,52597.78,0,0,0.0,40,0.0,0.06,0.08,0.4195
111958650,Arsenal,Arsenal,False,Shooter,0.0188,0.0007,100,53,50,101869879,2037397.58,1,7,204052.57,27,0.0874,0.04,0.0,0.5842
371263894,Greenville,Greenville,False,Roleplay & Avatar Sim,-0.0001,0.0006,3,51,50,1379579,27591.58,11,25,14800.12,18,0.3665,0.0,0.5,0.4786
113491250,[SPRING UPDATE!] Phantom Forces,Phantom Forces,False,Shooter,0.0,,0,90,50,18790275,375805.5,2,2,3041.0,25,0.0078,0.0,0.02,0.3554
1511883870,Shindo Life [242],Shindo Life,False,RPG,0.0,,0,90,50,11886538,237730.76,0,2,4176.0,15,0.0169,0.26,0.06,0.3086
2471084,🌳 Lumber Tycoon 2,Lumber Tycoon 2,False,Simulation,0.0,,0,90,50,20813288,416265.76,1,3,3026.0,13,0.0068,0.02,0.02,0.3015
1008451066,Da Hood ,Da Hood,False,Action,0.0,,0,90,50,42433953,848679.06,5,9,42670.0,29,0.0416,0.0,0.02,0.4007
2316994223,Pet Simulator X! 🐾,Pet Simulator X,True,Simulation,0.0,,0,90,50,144353497,2887069.94,1,1,1434.0,17,0.0005,0.02,0.04,0.3133
848145103,Dungeon Quest! ⚔️ RPG Adventure,Dungeon Quest!  RPG Adventure,False,RPG,0.0,,0,90,50,6192985,123859.7,0,2,206951.0,26,1.7189,0.02,0.08,0.5095
110181652,Epic Minigames ✨,Epic Minigames,False,Party & Casual,0.0,,0,90,50,57170904,1143418.08,4,8,894.0,31,0.0007,0.1,0.14,0.4033
1335695570,⚡Ninja Legends,Ninja Legends,True,Simulation,0.0,,0,90,50,42510346,850206.92,0,6,1071.17,22,0.0011,0.02,0.2,0.3538
2404080894,Funky Friday,Funky Friday,False,Action,0.0,,0,90,50,68043145,1360862.9,1,1,0.0,16,0.0,0.1,0.04,0.3085
1434220026,My Restaurant! 👨‍🍳,My Restaurant,False,Simulation,-0.002,0.066,2,49,50,44674654,893493.08,0,0,0.0,28,0.0,0.0,0.1,0.407
83858907,Speed Run 4,Speed Run 4,False,Obby & Platformer,0.0,,0,90,50,128001423,2560028.46,0,1,450892.0,37,0.1732,0.0,0.1,0.4236
1424449565,Super Golf!,Super Golf,False,Sports & Racing,0.0012,0.018,1,39,50,28523109,570462.18,1,2,420765.0,28,0.7296,0.14,0.06,0.497
1168263273,[🎃] Bad Business | FPS ,Bad Business | FPS,False,Shooter,0.0,,0,90,50,4871332,97426.64,1,6,18105.17,22,0.1673,0.0,0.34,0.3683
140239261,🏠 MeepCity 🏠,MeepCity,True,Roleplay & Avatar Sim,0.0,,0,90,50,87241547,1744830.94,0,1,126852.0,35,0.0714,0.06,0.08,0.4052
1077961373,Giant Simulator,Giant Simulator,False,Simulation,0.0,,0,90,50,23433967,468679.34,0,1,315.0,18,0.0007,0.04,0.06,0.3181
81762198,[Sides] Vehicle Simulator,Vehicle Simulator,False,Simulation,0.0,,0,90,50,47953688,959073.76,0,0,0.0,20,0.0,0.06,0.32,0.3242
1344222621,malymal91's Place,malymal91,False,,0.0,,0,90,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.129
67400893,efrenda's Place,efrenda,False,,0.0,,0,90,1,259261,259261.0,0,0,0.0,1,0.0,0.0,0.0,0.1357
1090335239,aleor3210's Place,aleor3210,False,,0.0,,0,90,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.129
2755335127,####'s Place,####,False,,0.0,,0,90,50,337491150,6749823.0,44,45,1263002.8,42,0.0225,0.86,0.04,0.581
4494776745,chgcchfhcfvggjgvhc's Place,chgcchfhcfvggjgvhc,False,,0.0,,0,90,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.129
4747349896,rgost1's Place,rgost1,False,,0.0,,0,90,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.129
1557606948,ProPro1052's Place,ProPro1052,False,,0.0,,0,90,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.129
498598030,puppyluver112232's Place,puppyluver112232,False,,0.0,,0,90,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.129
