youtube_video_count,youtube_total_views,youtube_avg_views,upload_velocity_7d,upload_velocity_30d,recent_video_avg_views,unique_creators,view_acceleration,short_video_ratio,title_update_freq,game_name_clean
50,35857512,717150.24,26,33,37124.0,27,0.0182,0.04,0.36,Adopt Me
50,47965104,959302.08,27,38,265560.0,29,0.0841,0.02,0.2,Blox Fruits
50,152238764,3044775.28,4,7,351902.86,22,0.101,0.0,0.1,Brookhaven RP
50,15757999,315159.98,30,45,233108.98,29,0.2212,0.02,0.1,RIVALS
50,157778913,3155578.26,3,7,234148.14,28,0.0645,0.0,0.02,Murder Mystery 2
50,92315634,1846312.68,10,14,86629.64,23,0.0333,0.0,0.08,The Strongest Battlegrounds
50,32736647,654732.94,9,24,55611.38,30,0.046,0.02,0.06,Bee Swarm Simulator
50,4848626,96972.52,12,37,42148.97,15,0.1666,0.02,0.38,Sol's RNG
50,37655020,753100.4,13,19,55067.0,27,0.0466,0.02,0.34,Fisch
50,33860203,677204.06,1,1,73675.0,12,0.1068,0.02,0.06,Creatures of Sonaria  Survive Kaiju Anim
50,5959325,119186.5,31,42,23050.86,17,0.0323,0.0,0.14,All Star Tower Defense
50,41051515,821030.3,12,15,31567.07,37,0.0241,0.0217,0.06,PLS DONATE
50,55852198,1117043.96,0,0,0.0,13,0.0,0.0,0.16,Blade Ball
50,4800045,96000.9,16,24,13395.12,20,0.0778,0.0,0.14,Dragon Adventures
50,138069475,2761389.5,1,3,195476.67,24,0.0668,0.0,0.0,Build A Boat For Treasure
50,32275207,645504.14,0,0,0.0,17,0.0,0.0,0.12,Flee the Facility
50,146457565,2929151.3,2,5,15113.8,25,0.0046,0.08,0.26,Welcome to Bloxburg
50,242468679,4849373.58,16,17,20424.88,34,0.0028,0.06,0.14,DOORS
50,17599222,351984.44,12,32,50889.28,27,0.0574,0.08,0.16,Tower Defense Simulator
50,86872568,1737451.36,2,2,14727.0,36,0.0081,0.0,0.06,a dusty trip
50,23405248,468104.96,12,29,18324.38,24,0.0168,0.0,0.18,Jailbreak
50,120305844,2406116.88,8,24,11127.96,23,0.0024,0.04,0.38,RoyaleHigh
50,32079303,641586.06,0,12,51829.58,38,0.0626,0.06,0.22,Prison Life
50,129421924,2588438.48,2,3,215054.67,40,0.0785,0.0,0.0,Work at a Pizza Place
50,157231668,3144633.36,1,2,117013.5,32,0.0358,0.0,0.02,Natural Disaster Survival
50,477692878,9553857.56,8,21,116849.43,33,0.0071,0.04,0.12,Piggy
50,16733986,334679.72,1,6,14750.0,16,0.039,0.1,0.16,Emergency Response: Liberty County
50,42446358,848927.16,1,3,50671.67,20,0.0563,0.0,0.04,Theme Park Tycoon 2
50,2629889,52597.78,0,0,0.0,40,0.0,0.06,0.08,Deepwoken: Ironsworn
50,101869879,2037397.58,1,7,204052.57,27,0.0874,0.04,0.0,Arsenal
50,1379579,27591.58,11,25,14800.12,18,0.3665,0.0,0.5,Greenville
50,18790275,375805.5,2,2,3041.0,25,0.0078,0.0,0.02,Phantom Forces
50,11886538,237730.76,0,2,4176.0,15,0.0169,0.26,0.06,Shindo Life
50,20813288,416265.76,1,3,3026.0,13,0.0068,0.02,0.02,Lumber Tycoon 2
50,42433953,848679.06,5,9,42670.0,29,0.0416,0.0,0.02,Da Hood
50,144353497,2887069.94,1,1,1434.0,17,0.0005,0.02,0.04,Pet Simulator X
50,6192985,123859.7,0,2,206951.0,26,1.7189,0.02,0.08,Dungeon Quest!  RPG Adventure
50,57170904,1143418.08,4,8,894.0,31,0.0007,0.1,0.14,Epic Minigames
50,42510346,850206.92,0,6,1071.17,22,0.0011,0.02,0.2,Ninja Legends
50,68043145,1360862.9,1,1,0.0,16,0.0,0.1,0.04,Funky Friday
50,44674654,893493.08,0,0,0.0,28,0.0,0.0,0.1,My Restaurant
50,128001423,2560028.46,0,1,450892.0,37,0.1732,0.0,0.1,Speed Run 4
50,28523109,570462.18,1,2,420765.0,28,0.7296,0.14,0.06,Super Golf
50,4871332,97426.64,1,6,18105.17,22,0.1673,0.0,0.34,Bad Business | FPS
50,87241547,1744830.94,0,1,126852.0,35,0.0714,0.06,0.08,MeepCity
50,23433967,468679.34,0,1,315.0,18,0.0007,0.04,0.06,Giant Simulator
50,47953688,959073.76,0,0,0.0,20,0.0,0.06,0.32,Vehicle Simulator
0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,malymal91
1,259261,259261.0,0,0,0.0,1,0.0,0.0,0.0,efrenda
0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,aleor3210
50,337491150,6749823.0,44,45,1263002.8,42,0.0225,0.86,0.04,####
0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,chgcchfhcfvggjgvhc
0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,rgost1
0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,ProPro1052
0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,puppyluver112232
